PERIOD,MONTH,NET_GENERATION
160,Apr 2014,300106.11
161,May 2014,327565.97
162,Jun 2014,360867.93
163,Jul 2014,388715.78
164,Aug 2014,387359.76
165,Sep 2014,342765.13
166,Oct 2014,317203.80
167,Nov 2014,319666.45
168,Dec 2014,339754.47
169,Jan 2015,362356.96
170,Feb 2015,336774.86
171,Mar 2015,327397.73
172,Apr 2015,297775.99
173,May 2015,325984.90
174,Jun 2015,366374.81
175,Jul 2015,404532.60
176,Aug 2015,396271.80
177,Sep 2015,353668.42
178,Oct 2015,315218.97
179,Nov 2015,303364.98
180,Dec 2015,326911.08
181,Jan 2016,355184.47
182,Feb 2016,317071.54
183,Mar 2016,308532.17
184,Apr 2016,297476.17
185,May 2016,322088.63
186,Jun 2016,373182.46
187,Jul 2016,417832.02
188,Aug 2016,415611.64
189,Sep 2016,356854.92
190,Oct 2016,317688.45
191,Nov 2016,301085.76
192,Dec 2016,348933.25
193,Jan 2017,347902.05
194,Feb 2017,295185.03
195,Mar 2017,325822.30
196,Apr 2017,302462.39
197,May 2017,331654.95
198,Jun 2017,367124.16
199,Jul 2017,412556.23
200,Aug 2017,392586.75
201,Sep 2017,343199.73
202,Oct 2017,325309.26
203,Nov 2017,312822.20
204,Dec 2017,354922.67
205,Jan 2018,378168.61
206,Feb 2018,312556.97
207,Mar 2018,329037.15
208,Apr 2018,309552.88
209,May 2018,348807.83
210,Jun 2018,382359.54
211,Jul 2018,421191.62
212,Aug 2018,417740.06
213,Sep 2018,364893.54
214,Oct 2018,332293.41
215,Nov 2018,328016.70
216,Dec 2018,347023.62
217,Jan 2019,363314.68
218,Feb 2019,319568.69
219,Mar 2019,332610.53
220,Apr 2019,304665.40
221,May 2019,339018.36
222,Jun 2019,362982.87
223,Jul 2019,423556.71
224,Aug 2019,413175.37
225,Sep 2019,369512.92
226,Oct 2019,330846.00
227,Nov 2019,323280.21
228,Dec 2019,342793.67
229,Jan 2020,346168.56
230,Feb 2020,325194.93
231,Mar 2020,315501.75
232,Apr 2020,286686.63
